text,lang,filename
Abruzzo DOC,it,Abruzzo DOC.mp3
Abruzzo,it,Abruzzo.mp3
Aglianico del Taburno DOCG,it,Aglianico del Taburno DOCG.mp3
Aglianico del Vulture DOC,it,Aglianico del Vulture DOC.mp3
Aglianico del Vulture Superiore DOCG,it,Aglianico del Vulture Superiore DOCG.mp3
Alba DOC,it,Alba DOC.mp3
Albugnano DOC,it,Albugnano DOC.mp3
Alcamo DOC,it,Alcamo DOC.mp3
Aleatico di Gradoli DOC,it,Aleatico di Gradoli DOC.mp3
Aleatico di Puglia DOC,it,Aleatico di Puglia DOC.mp3
Aleatico Passito dell'Elba Elba Aleatico Passito DOCG,it,Aleatico Passito dell'Elba Elba Aleatico Passito DOCG.mp3
Alezio DOC,it,Alezio DOC.mp3
Alghero DOC,it,Alghero DOC.mp3
Alta Langa DOCG,it,Alta Langa DOCG.mp3
Amarone della Valpolicella DOCG,it,Amarone della Valpolicella DOCG.mp3
Amelia DOC,it,Amelia DOC.mp3
Aprilia DOC,it,Aprilia DOC.mp3
Arborea DOC,it,Arborea DOC.mp3
Arcole DOC,it,Arcole DOC.mp3
Asolo - Prosecco o Colli Asolani - Prosecco DOCG,it,Asolo - Prosecco o Colli Asolani - Prosecco DOCG.mp3
Assisi DOC,it,Assisi DOC.mp3
Asti DOCG,it,Asti DOCG.mp3
Atina DOC,it,Atina DOC.mp3
Aversa DOC,it,Aversa DOC.mp3
Bagnoli Bagnoli di Sopra DOC,it,Bagnoli Bagnoli di Sopra DOC.mp3
Bagnoli Friularo Friularo di Bagnoli DOCG,it,Bagnoli Friularo Friularo di Bagnoli DOCG.mp3
Barbaresco DOCG,it,Barbaresco DOCG.mp3
Barbera d'Alba DOC,it,Barbera d'Alba DOC.mp3
Barbera d'Asti DOCG,it,Barbera d'Asti DOCG.mp3
Barbera del Monferrato DOC,it,Barbera del Monferrato DOC.mp3
Barbera del Monferrato Superiore DOCG,it,Barbera del Monferrato Superiore DOCG.mp3
Barco Reale di Carmignano DOC,it,Barco Reale di Carmignano DOC.mp3
Bardolino DOC,it,Bardolino DOC.mp3
Bardolino Superiore DOCG,it,Bardolino Superiore DOCG.mp3
Barletta DOC,it,Barletta DOC.mp3
Barolo DOCG,it,Barolo DOCG.mp3
Bianchello del Metauro DOC,it,Bianchello del Metauro DOC.mp3
Bianco Capena DOC,it,Bianco Capena DOC.mp3
